Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
java,at.adiber.commands,CreateCommand,0.0,0.0,1.0,1.0,0.0,0.0
java,at.adiber.commands,RenderCommand,0.0,0.0,1.0,1.0,0.0,0.0
java,at.adiber.commands,StartCommand,0.0,0.0,1.0,1.0,0.0,0.0
java,at.adiber.commands,VerifyCommand,0.0,0.0,1.0,1.0,0.0,0.0
java,at.adiber.config,Config,8.0,6.0,3.0,3.0,0.75,0.6
java,at.adiber.config,ConfigHandler,1.0,0.0,2.0,2.0,0.5,0.0
java,at.adiber.discord,AudioPlayerSendHandler,4.0,2.0,2.0,2.0,0.6666666666666666,0.5
java,at.adiber.discord,Bot,27.0,9.0,1.0,1.0,0.8,0.0
java,at.adiber.discord,Config,18.0,15.0,4.0,4.0,0.8333333333333334,0.5714285714285714
java,at.adiber.discord,GuildAudioManager,40.0,14.0,4.0,3.0,0.7272727272727273,0.25
java,at.adiber.discord,MessageListener,0.0,0.0,1.0,1.0,0.0,0.0
java,at.adiber.discord,ReadyListener,0.0,0.0,1.0,1.0,0.0,0.0
java,at.adiber.events,EventPlayerJoin,0.0,0.0,1.0,1.0,0.0,0.0
java,at.adiber.events,EventPlayerQuit,0.0,0.0,1.0,1.0,0.0,0.0
java,at.adiber.main,Main,42.0,39.0,9.0,4.0,0.9629629629629629,0.3
java,at.adiber.player,Canvas,52.0,13.0,2.0,1.0,0.7538461538461539,0.0
java,at.adiber.player,CanvasSection,52.0,26.0,2.0,2.0,0.8712121212121212,0.15384615384615385
java,at.adiber.player,VideoFrame,8.0,6.0,3.0,2.0,0.75,0.0
java,at.adiber.player,VideoPlayer,21.0,0.0,1.0,1.0,0.7142857142857143,0.0
java,at.adiber.reflect.exception,UncheckedClassNotFoundException,0.0,0.0,1.0,1.0,-0.0,0.0
java,at.adiber.reflect.exception,UncheckedIllegalAccessException,0.0,0.0,1.0,1.0,0.0,0.0
java,at.adiber.reflect.exception,UncheckedInstantiationException,0.0,0.0,1.0,1.0,0.0,0.0
java,at.adiber.reflect.exception,UncheckedInvocationTargetException,0.0,0.0,1.0,1.0,-0.0,0.0
java,at.adiber.reflect.exception,UncheckedNoSuchFieldException,0.0,0.0,1.0,1.0,0.0,0.0
java,at.adiber.reflect.exception,UncheckedNoSuchMethodException,0.0,0.0,1.0,1.0,0.0,0.0
java,at.adiber.reflect.exception,UncheckedReflectiveOperationException,1.0,0.0,2.0,2.0,0.0,1.0
java,at.adiber.reflect,Reflection,15.0,0.0,6.0,1.0,0.0,0.0
java,at.adiber.render,RenderConsumer,0.0,0.0,1.0,1.0,-0.0,0.0
java,at.adiber.render,RenderProducer,0.0,0.0,1.0,1.0,0.5,0.0
java,at.adiber.render,RenderWorker,0.0,0.0,1.0,1.0,-0.0,0.0
java,at.adiber.render,Video,6.0,2.0,2.0,2.0,0.625,0.4
java,at.adiber.util,MapHelper,10.0,0.0,5.0,5.0,1.0,1.0
java,at.adiber.util,Messages,0.0,0.0,0.0,0.0,0.0,-1.0
java,at.adiber.util,RandomID,0.0,0.0,1.0,1.0,0.9285714285714286,0.0
java,at.adiber.util,Shared,0.0,0.0,1.0,1.0,0.0,0.0
